SMILES,NAME,NODES,SOLUTION_TIME,NUM_ROUTES,FINAL_NUM_RXN_MODEL_CALLS,final_num_value_model_calls
COc1ccc(CCN(C)C(=O)CSc2nnnn2C)cc1OC,GNN-NN-Split-MAX-10.0,5277,215,0,215 (NOTE: this was less than the maximum budget),1707
O=S(=O)(NCCN1CCc2ccccc2C1)c1ccccc1,GNNEstimatorMAXScore-3.0,1472,32,0,32 (NOTE: this was less than the maximum budget),508
COc1ccc(CCN(C)C(=O)CSc2nnnn2C)cc1OC,GNN-NN-Split-AVG-3.0,191,7,0,7 (NOTE: this was less than the maximum budget),51
O=S(=O)(NCCN1CCc2ccccc2C1)c1ccccc1,GNNEstimatorMAXScore-10.0,377,8,0,8 (NOTE: this was less than the maximum budget),147
O=S(=O)(NCCN1CCc2ccccc2C1)c1ccccc1,GNNEstimatorAVGScore-3.0,1472,32,0,32 (NOTE: this was less than the maximum budget),508
O=S(=O)(NCCN1CCc2ccccc2C1)c1ccccc1,GNNEstimatorAVGScore-10.0,377,8,0,8 (NOTE: this was less than the maximum budget),147
O=S(=O)(NCCN1CCc2ccccc2C1)c1ccccc1,GNN_NNSplitSingleMAXScore-3.0,1472,32,0,32 (NOTE: this was less than the maximum budget),508
O=S(=O)(NCCN1CCc2ccccc2C1)c1ccccc1,GNN_NNSplitSingleMAXScore-10.0,377,8,0,8 (NOTE: this was less than the maximum budget),147
O=S(=O)(NCCN1CCc2ccccc2C1)c1ccccc1,GNN_NNSplitSingleAVGSCore-3.0,1472,32,0,32 (NOTE: this was less than the maximum budget),508
O=S(=O)(NCCN1CCc2ccccc2C1)c1ccccc1,GNN_NNSplitSingleAVGSCore-10.0,377,8,0,8 (NOTE: this was less than the maximum budget),147
O=S(=O)(NCCN1CCc2ccccc2C1)c1ccccc1,GNN-NN-Split-MAX-3.0,1472,32,0,32 (NOTE: this was less than the maximum budget),508
O=S(=O)(NCCN1CCc2ccccc2C1)c1ccccc1,GNN-NN-Split-MAX-10.0,377,8,0,8 (NOTE: this was less than the maximum budget),147
O=S(=O)(NCCN1CCc2ccccc2C1)c1ccccc1,GNN-NN-Split-AVG-3.0,1472,32,0,32 (NOTE: this was less than the maximum budget),508
COc1ccc(CCN(C)C(=O)CSc2nnnn2C)cc1OC,GNN-NN-Split-AVG-10.0,5242,213,0,213 (NOTE: this was less than the maximum budget),1692
O=S(=O)(NCCN1CCc2ccccc2C1)c1ccccc1,GNN-NN-Split-AVG-10.0,377,8,0,8 (NOTE: this was less than the maximum budget),147
CC(C)(C)Cn1cc(-c2ccc(C(=O)NCCc3ccc(S(C)(=O)=O)cc3)cc2)c(N)n1,constant-0,3299,120,0,120 (NOTE: this was less than the maximum budget),192
CCOC(=O)c1cn(Cc2cccc(F)c2)c2sc(-c3ccc(OC)cc3)c(CN(C)Cc3ccccc3)c2c1=O,constant-0,12260,inf,0,500,718
